epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.4955959853783403,0.37703188803787374,1.1546242884923144,0.46128919556293124,0.3471190513897331,0.0009972609476841367
2,1.4605106785577477,0.386250026817704,1.1118017328171255,0.4610271639444493,0.34370015034416584,0.0009890738003669028
3,1.4485898035939502,0.3886743472570852,1.1233937400944556,0.46052930386933355,0.3596345787764995,0.0009755282581475768
4,1.44318335694052,0.38927863951999886,1.1173821001819162,0.45209188575421433,0.35072530467925866,0.0009567727288213003
5,1.439012565429878,0.39038352892378764,1.0985634907931519,0.45535854659795616,0.34361105500017824,0.0009330127018922195
6,1.4359325879815352,0.39014038174107685,1.1187804374043178,0.4653681544239672,0.3706700464965328,0.0009045084971874739
7,1.4329771611504896,0.3914723277051912,1.0992584818102464,0.4599353655341078,0.33240352445743626,0.0008715724127386972
8,1.4316536397093316,0.39114157602282723,1.0956378629168912,0.47347366582234257,0.3624845889475977,0.0008345653031794292
9,1.429265585113828,0.3909878211867013,1.097776861173229,0.4725565551576557,0.36221344712517,0.0007938926261462366
10,1.4284663248963068,0.39193359221356905,1.0916269618153929,0.4612542580138003,0.36925974576990866,0.00075
11,1.4265752125076914,0.3923447970078594,1.0982644560224832,0.45709668966721984,0.3374043939083968,0.0007033683215379003
12,1.4252105674268427,0.3922589803551379,1.1036417962868996,0.4697004105162023,0.36216396270386164,0.0006545084971874739
13,1.4236595981658982,0.3924020081096737,1.0796434715148837,0.46238099397327276,0.3449924236481971,0.0006039558454088797
14,1.4231232313805524,0.39180307938755515,1.0847714654931595,0.4616997117652197,0.3429905360074888,0.0005522642316338269
15,1.421606533157367,0.3933084465040441,1.0945068821888653,0.4563280635863394,0.3471246064085883,0.0005000000000000002
16,1.4208536249085417,0.39253967232341436,1.1044959687035605,0.4599091623722596,0.34328253176852447,0.0004477357683661734
17,1.4196897759292668,0.39212310398832895,1.0916600032712636,0.45919294261507554,0.34130910588422214,0.00039604415459112036
18,1.4180846186170069,0.3932995072693856,1.0963230767840906,0.4655166390077736,0.3538171171623216,0.0003454915028125264
19,1.4175032091327617,0.39383228565503137,1.0872957443594562,0.4597170058520395,0.339184735328392,0.0002966316784621
20,1.4162640310631835,0.39353550306436963,1.099307467512353,0.45717529915276445,0.342173536906601,0.00025000000000000017
21,1.41557315734638,0.3933066586571124,1.0950257923695803,0.4565638920429732,0.33839592274243063,0.00020610737385376354
22,1.4142083514033654,0.3931475402801914,1.0864398235285577,0.459114333129531,0.33885576631621306,0.00016543469682057108
23,1.413703992848068,0.39335135483040484,1.0849998332115978,0.45952484933181936,0.340485751112047,0.00012842758726130298
24,1.4129653099171744,0.3934997461257357,1.0915020773238977,0.4570792208926544,0.33811688951782226,9.549150281252637e-05
25,1.4122328062180871,0.3934997461257357,1.097112271807679,0.45584767228578915,0.3377308419852835,6.698729810778068e-05
26,1.411643099127735,0.39317435798416683,1.0860278679715127,0.46052930386933355,0.3454404390583457,4.322727117869953e-05
27,1.4108262742445412,0.3946046355295245,1.0852118022175092,0.4570530177308062,0.34303119873399984,2.447174185242324e-05
28,1.410524735081914,0.3936231075640228,1.0832373092484326,0.459210411389641,0.3402490329676046,1.092619963309716e-05
29,1.4102305304811196,0.3944437293056718,1.0846300883266409,0.45843305092147785,0.33970160627032964,2.7390523158633003e-06
30,1.41007704678724,0.3938001044102608,1.085838834410533,0.4580749410428858,0.3396423982324731,0.0
